Title,Author,Publication Year
Niklas Luhmann zur Einführung / Walter Reese-Schäfer,"Reese-Schäfer, Walter [Verfasser]",2019
Niklas Luhmanns systemtheoretische Analysen des Erziehungssystems : Rekonstruktion und pädagogische Kritik / Robert-Josip Mitrović,"Mitrović, Robert-Josip [Verfasser]",2019
Postfundamentale Systemtheorie / Jan Tobias Fuhrmann,"Fuhrmann, Jan Tobias [Verfasser]",2019
Souveränitätsfragmente : ein Beitrag zur Literaturgeschichte der Souveränität und gegenwärtigen Herausforderungen der Rechtswissenschaften im Spiegel der Digitalisierung / Julien Steinbach,"Steinbach, Julien [Verfasser]",2019
Studien zur Theorie und Soziologie des gerichtlichen Verfahrens. : Ein Beitrag zur Diskussion um Grundlagen und Grundbegriffe von Prozeß und Prozeßrecht. / Jürgen Schaper,"Schaper, Jürgen [Verfasser]",2019
Theorie der Gesellschaft : Vorlesung Wintersemester 1992/1993 / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2019
Theorie organisierter Sozialsysteme / Niklas Luhmann ; herausgegeben von Ernst Lukas und Veronika Tacke,"Luhmann, Niklas [Verfasser]; Lukas, Ernst [Herausgeber]; Tacke, Veronika [Herausgeber]",2019
Verfassung und Positivität des Rechts in der peripheren Moderne. : Eine theoretische Betrachtung und eine Interpretation des Falls Brasilien. / Marcelo Neves,"Neves, Marcelo [Verfasser]",2019
Zur vollständigen operativen Schliessung psychischer und sozialer Systeme / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2019
Beiträge zur funktionalen Differenzierung der Gesellschaft / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2018
[Der neue Chef] ; Beol geo sung i im geum nim : sin im bo seu ui sa hoe hag = Der neue Boss / Ni keul la seu Lu man ; Wi leu gen Ka u be pyeon jib ; I Cheol olm gim,"Luhmann, Niklas [Verfasser]",2018
[Die Soziologie und der Mensch] ; Che cos'è la comunicazione? / Niklas Luhmann ; a cura di Alberto Cevolini,"Luhmann, Niklas [Verfasser]",2018
"Die Instabilität politischer Institutionen : Zwei Originalvorträge / Arnold Gehlen, Niklas Luhmann","Gehlen, Arnold [Verfasser]; Luhmann, Niklas [Verfasser]; Gehlen, Arnold [Erzähler]; Luhmann, Niklas [Erzähler]; Sonner, Franz-Maria [Herausgeber]",2018
"Die institutionelle Bestimmtheit sozialer Systeme : Niklas Luhmanns Systemtheorie und die Soziologie der ""Leipziger Schule"" / von Andreas Höntsch","Höntsch, Andreas [Verfasser]",2018
Die institutionelle Bestimmtheit sozialer Systeme. : Niklas Luhmanns Systemtheorie und die Soziologie der »Leipziger Schule«. / Andreas Höntsch,"Höntsch, Andreas [Verfasser]",2018
Die Konstitutionalisierung des Völkerrechts aus systemtheoretischer Sichtweise = Constitutionalization of international law from the perspective of the systems theory / Clemens Mattheis,"Mattheis, Clemens [Verfasser]",2018
Die Konstitutionalisierung des Völkerrechts aus systemtheoretischer Sichtweise,"Mattheis, Clemens [Verfasser]",2018
Die Soziologie und der Mensch / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2018
Die Wirklichkeit der Organisation / Niklas Luhmann ; herausgegeben von Ernst Lukas und Veronika Tacke,"Luhmann, Niklas [Verfasser]; Tacke, Veronika [Herausgeber]; Lukas, Ernst [Herausgeber]",2018
Estrutura social e semântica / Nilkas Luhmann,"Luhmann, Niklas [Verfasser]",2018
[Luhmann] ; Introduzione alla teoria dei sistemi / Niklas Luhmann ; a cura di Dirk Baecker ; edizione italiana a cura di Stefano Magnolo,"Luhmann, Niklas [Verfasser]",2018
Niklas Luhmann - Beobachtungen der Moderne : mit Vorträgen von Peter Fuchs ...,"Luhmann, Niklas [Mitwirkender]; Fuchs, Peter [Mitwirkender]",2018
Organisationen der Gesellschaft : Gesellschaft und Organisation in der Systemtheorie Niklas Luhmanns,"Drepper, Thomas [Verfasser]",2018
Organisationen der Gesellschaft : Gesellschaft und Organisation in der Systemtheorie Niklas Luhmanns / Thomas Drepper,"Drepper, Thomas [Verfasser]",2018
"[Habermas] ; Sa hoe i lon in ga, sa hoe gong hag in ga? Che gye i lon eun mu eos eul su haeng ha neun ga? = Theorie der Gesellschaft oder Sozialtechnologie? : was leistet Systemforschung? / Wi leu gen Ha beo ma seu, Ni keul la Seu lu man ; I Cheol olm gim","Habermas, Jürgen [Verfasser]; Luhmann, Niklas [Verfasser]",2018
Schriften zur Organisation / Niklas Luhmann ; herausgegeben von Ernst Lukas und Veronika Tacke,"Luhmann, Niklas [Verfasser]; Tacke, Veronika [Herausgeber]; Lukas, Ernst [Herausgeber]",2018
"Soziales System, Gesellschaft, Organisation / Niklas Luhmann","Luhmann, Niklas [Verfasser]",2018
1,Springer Fachmedien Wiesbaden,2018
2,Springer Fachmedien Wiesbaden,2018
5. Konstruktivistische Perspektiven,Springer Fachmedien Wiesbaden,2018
Soziologische Aufklärung 1 bis 6 / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2018
Teoria dos sistemas na prática / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2018
"Theorie und Praxis des systemischen Ansatzes : die Systemtheorie Watzlawicks und Luhmanns verständlich erklärt / Joop Willemse, Falko von Ameln","Willemse, Joop [Verfasser]; Ameln, Falko von [Verfasser]",2018
Theorie und Praxis des systemischen Ansatzes : Die Systemtheorie Watzlawicks und Luhmanns verständlich erklärt,"Willemse, Joop [Verfasser]; Ameln, Falko von [Verfasser]",2018
Trust and Power / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Davis, Howard Übersetzer]; Raffan, John [Übersetzer]; Rooney, Kathryn [Übersetzer]; [King, Michael [Herausgeber]; Morgner, Christian [Herausgeber]",2018
Verfremdungsspiele / Moritz von Stetten,"Stetten, Moritz von [Verfasser]",2018
"""Was ist der Fall?"" und ""Was steckt dahinter?"" : Die zwei Soziologien und die Gesellschaftstheorie / Niklas Luhmann","Luhmann, Niklas [Verfasser]; Blanke, Eberhard [Herausgeber]",2018
"""Was ist der Fall?"" und ""Was steckt dahinter?"" : Die zwei Soziologien und die Gesellschaftstheorie / Niklas Luhmann","Luhmann, Niklas [Verfasser]; Blanke, Eberhard [Herausgeber]",2018
"""Was ist der Fall?""und""Was steckt dahinter?"" : Die zwei Soziologien und die Gesellschaftstheorie / Niklas Luhmann","Luhmann, Niklas; Blanke, Eberhard",2018
[Der neue Chef] ; De nieuwe baas / Niklas Luhmann ; vertaald door Huub Stegeman,"Luhmann, Niklas [Verfasser]; Stegeman, Huub [Übersetzer]",2017
Die Kontrolle von Intransparenz / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Baecker, Dirk [Herausgeber]",2017
Die Kontrolle von Intransparenz / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Baecker, Dirk [Herausgeber]",2017
Die Kontrolle von Intransparenz / Niklas Luhmann ; herausgegeben und mit einem Nachwort von Dirk Baecker,"Luhmann, Niklas [Verfasser]; Baecker, Dirk [Herausgeber]",2017
Die Realität der Massenmedien,"Luhmann, Niklas [Verfasser]",2017
Die Realität der Massenmedien / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2017
[Die Wirtschaft der Gesellschaft] ; La economía de la sociedad / Niklas Luhmann ; traducción e introducción de Aldo Mascareño ; prefacio a la edición española de Dirk Baecker,"Luhmann, Niklas [Verfasser]",2017
[Die Kunst der Gesellschaft] ; L' arte della società / Niklas Luhmann ; edizione italiana a cura di Giancarlo Corsi,"Luhmann, Niklas [Verfasser]",2017
Latours Existenzweisen und Luhmanns Funktionssysteme : Ein soziologischer Theorienvergleich,"Braun, Andreas Christian [Verfasser]",2017
Latours Existenzweisen und Luhmanns Funktionssysteme : ein soziologischer Theorienvergleich / Andreas Christian Braun,"Braun, Andreas Christian [Verfasser]",2017
"Luhmann, intérprete de Husserl : el observador observado / Lionel Lewkow","Lewkow, Lionel [Verfasser]",2017
[Die Realität der Massenmedien] ; Massimeedia reaalsus / Niklas Luhmann ; saksa keelest tõlkinud Mati Sirkel,"Luhmann, Niklas [Verfasser]",2017
Medien und die Koordination des Handelns : Der Begriff des Kommunikationsmediums zwischen Handlungs- und Systemtheorie,"Bachmann, Ulrich [Verfasser]",2017
Medien und die Koordination des Handelns : der Begriff des Kommunikationsmediums zwischen Handlungs- und Systemtheorie / Ulrich Bachmann,"Bachmann, Ulrich [Verfasser]",2017
"Niklas Luhmann / Julian Müller, Ansgar Lorenz","Müller, Julian [Verfasser]; Lorenz, Ansgar [Verfasser]",2017
[Protest] ; Protesta : teoria dei sistemi e movimenti sociali / Niklas Luhmann ; a cura di Kai-Uwe Hellmann ; edizione italiana a cura di Gianluca Bonaiuti ; traduzione dal tedesco di Silvia Rodeschini,"Luhmann, Niklas [Verfasser]",2017
[Ideenevolution] ; Rinen no shinka / Luhmann Niklas ; Hijikata Tōru.,"Luhmann, Niklas. [Verfasser]; Hijikata, Tōru. [Sonstige]",2017
[Liebe] ; Sa lang yeon seub = Liebe : eine Übung / Ni keul la Seu lu man ; An deu le Ki jeol leong pyeo naem ; I Cheol olm gim,"Luhmann, Niklas [Verfasser]",2017
"2 / Baba Yasuo, Akahori Saburō, Sugawara Ken, Takahashi Tooru yaku","Baba, Yasuo [Übersetzer]; Akahori, Saburō [Übersetzer]; Sugawara, Ken, 1964- [Übersetzer]; Takahashi, Tōru, 1970- [Übersetzer]",2017
[Luhmann] ; Shakai no shakai =  Die Gesellschaft der Gesellschaft / Nikurasu Rūman,"Luhmann, Niklas [Verfasser]",2017
[Short cuts] ; Short cuts = Short cuts <albanisch>,"Luhmann, Niklas",2017
"Sinn, Wert und Erfahrung : Internalismus und Externalismus bei Max Weber, Alfred Schütz und Niklas Luhmann / Peter Isenböck","Isenböck, Peter [Verfasser]",2017
"Sinn, Wert und Erfahrung : Internalismus und Externalismus bei Max Weber, Alfred Schütz und Niklas Luhmann / Peter Isenböck","Isenböck, Peter [Verfasser]",2017
Systèmes psychiques et systèmes sociaux,"Sosoe, Lukas K. [Herausgeber]",2017
Systèmes psychiques et systèmes sociaux / Lukas K. Sosoe (éd.),"Sosoe, Lukas K. [Herausgeber]",2017
Systemtheorie : Theorie für die vernetzte Gesellschaft / Christian Schuldt,"Schuldt, Christian [Verfasser]",2017
Systemtheorie : Theorie für die vernetzte Gesellschaft / Christian Schuldt,"Schuldt, Christian [Verfasser]",2017
Systemtheorie der Gesellschaft / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Kieserling, André [Herausgeber]; Schmidt, Johannes F. K. [Herausgeber]",2017
Systemtheorie der Gesellschaft / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Kieserling, André [Herausgeber]; Schmidt, Johannes F. K. [Herausgeber]",2017
Systemtheorie der Gesellschaft / Niklas Luhmann ; herausgegeben von Johannes F.K. Schmidt und André Kieserling,"Luhmann, Niklas [Verfasser]; Schmidt, Johannes F. K. [Herausgeber]; Kieserling, André [Herausgeber]",2017
[Luhmann] ; The new boss / Niklas Luhmann ; translated by Peter Gilgen and Michael King,"Luhmann, Niklas [Verfasser]",2017
The New Boss / Niklas Luhmann,"Luhmann, Niklas [Verfasser]",2017
Trust and Power / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Davis, Howard Übersetzer]; Raffan, John [Übersetzer]; Rooney, Kathryn [Übersetzer]; [King, Michael [Herausgeber]; Morgner, Christian [Herausgeber]",2017
[Liebe] ; Amore : un seminario / Niklas Luhmann ; traduzione di Hellmut Riediger,"Luhmann, Niklas [Verfasser]",2016
Der neue Chef / Niklas Luhmann ; herausgegeben und mit einem Nachwort von Jürgen Kaube,"Luhmann, Niklas [Verfasser]; Kaube, Jürgen [Herausgeber]",2016
Der neue Chef / Niklas Luhmann,"Luhmann, Niklas [Verfasser]; Kaube, Jürgen [Herausgeber]",2016
Die Freiheit der Soziologie : der Grundbegriff der Moderne und die soziologische Theoriebildung / Jurit Kärtner,"Kärtner, Jurit [Verfasser]",2016
"[Soziologische Aufklärung] ; Distinciones directrices / Niklas Luhmann ; presentación de José María García Blanco ; traducción: Pedro Piedras Monroy ; CIS, Centro de Investigaciones Sociológicas","Luhmann, Niklas [Verfasser]",2016
