Title,Author,Publication Year
"Le droit international selon Hans Kelsen : criminalités, responsabilités, normativités / sous la direction de Ninon Grangé et Frédéric Ramel ; avec deux traductions inédites de Hans Kelsen","Grangé, Ninon [Herausgeber]",2018
Pomiędzy czystym prawem a ideą polityczną : pojęcie konstytucji w doktrynach Hansa Kelsena i Johna Rawlsa / Wojciech Włoch,"Włoch, Wojciech [Verfasser]",2018
[Kelsen] ; Puhas õigusõpetus : sissejuhatus õigusteaduse probleemistikku / Hans Kelsen ; tõlkinud Hent Kalmo,"Kelsen, Hans [Verfasser]; Kalmo, Hent [Übersetzer]",2018
Vom Wesen und Wert der Demokratie / Hans Kelsen ; mit einem Nachwort von Klaus Zeleny,"Kelsen, Hans [Verfasser]; Zeleny, Klaus [Verfasser eines Nachworts]",2018
Der Staat der Moderne. : Hans Kelsens Pluralismustheorie. / Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2017
Hans Kelsen und die offene Gesellschaft / Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2017
Hans Kelsen und die offene Gesellschaft,"Ooyen, Robert Chr. van [Verfasser]",2017
Hans Kelsens politische Philosophie / herausgegeben von Elif Özmen,"Özmen, Elif [Herausgeber]",2017
I termini della pace tedesca e altri scritti / Hans Kelsen ; a cura di Fernando D'Aniello,"Kelsen, Hans [Verfasser]; D'Aniello, Fernando [Herausgeber]",2017
[Was ist Gerechtigkeit?.] ; Kaj je pravičnost? / Hans Kelsen ; spremna beseda Robert Walter ; [prevod Vera Lamut],"Kelsen, Hans 1881-1973. [Verfasser]; Lamut, Vera. [Übersetzer]; Walter, Robert 1931-2010. [Verfasser eines Geleitworts]; Pavčnik, Marijan. [Verfasser eines Geleitworts]",2017
"Kampf den Feinden oder Schutz der Minderheiten? : der Einfluss staats- und gesellschaftstheoretischer Auffassungen auf die strafrechtliche Theorie, Rechtsprechung und Gesetzgebung : eine Untersuchung feindstrafrechtlicher Tendenzen unter Zugrundelegung der Positionen von Carl Schmitt und Hans Kelsen / Felix Fleckenstein","Fleckenstein, Felix [Verfasser]",2017
Kelsen / Monika Zalewska,"Zalewska, Monika. [Verfasser]; Kelsen, Hans (1881-1973). [Verfasser]",2017
