Title,Author,Publication Year
Nationale Zusammengehörigkeit und moderne Vielfalt : eine Auseinandersetzung mit den Arbeiten Émile Durkheims / Charis Anastasopoulos,"Anastasopoulos, Charis [Verfasser]",2014
Nationale Zusammengehörigkeit und moderne Vielfalt : Eine Auseinandersetzung mit den Arbeiten Émile Durkheims,,2014
Durkheim: The Division of Labour in Society / Emile Durkheim,"Durkheim, Emile [Verfasser]; Lukes, Steven [Herausgeber]",2013
Durkheim: The Division of Labour in Society / Emile Durkheim,"Durkheim, Emile [Verfasser]; Lukes, Steven [Herausgeber]",2013
Durkheim: The Rules of Sociological Method : and Selected Texts on Sociology and its Method / Emile Durkheim,"Durkheim, Emile [Verfasser]; Lukes, Steven [Herausgeber]",2013
Durkheim: The Rules of Sociological Method : and Selected Texts on Sociology and its Method / Emile Durkheim,"Durkheim, Emile [Verfasser]; Lukes, Steven [Herausgeber]",2013
Émile Durkheim : Soziologie - Ethnologie - Philosophie,"Baciocchi, Stéphane [Mitwirkender]; Beck, Stefan Mitwirkender]; [Bogusz, Tanja [Mitwirkender]; Delitz, Heike [Mitwirkender]; Désveaux, Emmanuel Mitwirkender]; Fabiani, Jean-Louis [Mitwirkender]; [Fischer, Joachim [Mitwirkender]; Fournier, Marcel Mitwirkender]; [Karsenti, Bruno [Mitwirkender]; Keck, Frédéric Mitwirkender]; Keim, Wiebke [Mitwirkender]; [Lukes, Steven [Mitwirkender]; Moebius, Stephan Mitwirkender]; [Peter, Lothar [Mitwirkender]; Prabhat, Devyani Mitwirkender]; Rawls, Anne W. [Mitwirkender]; Scheffer, Thomas [Mitwirkender]; Schillmeier, Michael [Mitwirkender]; [Seyfert, Robert [Mitwirkender]; Jones, Susan Stedman [Mitwirkender]; Terrier, Jean [Mitwirkender]",2013
Émile Durkheim : Soziologie - Ethnologie - Philosophie / Tanja Bogusz ; Heike Delitz (Hg.),"Bogusz, Tanja [Herausgeber] [Mitwirkender]; Baciocchi, Stéphane [Mitwirkender]; Beck, Stefan Mitwirkender]; [Delitz, Heike [Mitwirkender]; Désveaux, Emmanuel Mitwirkender]; Fabiani, Jean-Louis [Mitwirkender]; [Fischer, Joachim [Mitwirkender]; Fournier, Marcel Mitwirkender]; [Karsenti, Bruno [Mitwirkender]; Keck, Frédéric Mitwirkender]; Keim, Wiebke [Mitwirkender]; [Lukes, Steven [Mitwirkender]; Moebius, Stephan Mitwirkender]; [Peter, Lothar [Mitwirkender]; Prabhat, Devyani Mitwirkender]; Rawls, Anne W. [Mitwirkender]; Scheffer, Thomas [Mitwirkender]; Schillmeier, Michael [Mitwirkender]; [Seyfert, Robert [Mitwirkender]; Jones, Susan Stedman [Mitwirkender]; Terrier, Jean [Mitwirkender]",2013
Emile Durkheim : zur Bestimmung der französischen Soziologie in Deutschland / René König. Hrsg. und mit einem Nachw. vers. von Clemens Albrecht,"König, René [Verfasser]",2013
Émile Durkheim zur Einführung / Heike Delitz,"Delitz, Heike [Verfasser]",2013
Die pluralistische Staatstheorie : oder der Konsens zur Uneinigkeit / Hans Peter Matter. Benjamin Schindler (Hg.),"Matter, Mani [Verfasser]",2012
Émile Durkheim / Daniel Šuber,"Šuber, Daniel [Verfasser]",2012
"Hara : centrul vital al omului / Karlfried Graf Dürckheim. Cuvânt înainte, trad. şi îngrijire ed.: Viorica Juncan","Dürckheim, Karlfried [Verfasser]",2012
Hara : die energetische Mitte des Menschen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2012
[Hara] ; Hara : het dragende midden van de mens / Prof. Karlfried von Durckheim ; vertaald door C.W. Sangster-Warnaars,"Dürckheim, Karlfried [Verfasser]; Sangster-Warnaars, C. W. [Übersetzer]; Arends, Jan Willem [Herausgeber]",2012
Weber and Durkheim : a methodological comparison / Henrik Jensen,"Jensen, Henrik [Verfasser]",2012
[Der Alltag als Übung] ; Muutoksen pyörä / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2011
"Reading Marx, Weber and Durkheim today / Susan Visvanathan","Visvanathan, Susan [Verfasser]",2011
Wunderbare Katze und andere Zen-Texte / Karlfried Graf Dürckheim. Mit Zeichn. von Klaus Bertelsmann,"Dürckheim, Karlfried [Herausgeber]; Bertelsmann, Klaus [Illustrator]",2011
Verengtes Denken / Kantzenbach/Durkheim/Zahrnt,"Kantzenbach, Friedrich Wilhelm [Mitwirkender]; Durkheim, Émile [Mitwirkender]; Zahrnt, Heinz [Mitwirkender]",2010
El despuntar del ser : etapas de maduración / Karlfried Graf Dürckheim. [Versión española por Concha Quintana de la versión francesa],"Dürckheim, Karlfried [Verfasser]",2009
Meditieren - wozu und wie : die Wende zum Initiatischen / Karlfried Graf Dürckheim,"Dürckheim, Karlfried [Verfasser]",2009
