Title,Author,Publication Year
"Sustainable Finance: klare Regeln für die Finanzwirtschaft und ein ganzheitlicher politischer Ansatz / Stefan Marx, Karl-Peter Schackmann-Fallis, Florian Witt (Mitglieder der AG Finanzen des Managerkreises)","Marx, Stefan Verfasser]; [Schackmann-Fallis, Karl-Peter [Verfasser]; Witt, Florian [Verfasser]",2022
"The Communist Manifesto / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2022
"The Communist Manifesto / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]; Classics, My Old [Herausgeber]",2022
"The German ideology : a new abridgement / Karl Marx, and Friedrich Engels ; edited and with an introduction by Tom Whyman","Marx, Karl; Engels, Friedrich; Whyman, Tom",2022
The Poverty of Philosophy / Karl Marx,"Marx, Karl [Künstler]; Marx, Karl [Verfasser]; Leroy, Trayvin [Erzähler]",2022
Theorie der Bedürfnisse bei Marx : ein hellrotes Bändchen aus 50 Jahren Verlagsarbeit / Ágnes Heller,"Heller, Ágnes [Verfasser]",2022
T. 2. [8. - 18. Kapitel],,2022
T. 3. [19. - 24. Kapitel],,2022
Theorien über den Mehrwert / Karl Marx. Institut für Marxismus-Leninismus beim ZK der SED,"Marx, Karl [Verfasser]",2022
Über Kunst und Literatur : Eine Sammlung aus ihren Schriften / Karl Marx ; Friedrich Engels. Hrsg. von Michail Lifschitz. Mit e. Vorw. von Fritz Erpenbeck,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]; Lifšic, Michail Aleksandrovič [Mitwirkender]; Erpenbeck, Fritz [Mitwirkender]",2022
"""Vormärz"" : Ein Briefwechsel aus dem Jahre 1843 zwischen Marx, Ruge, Feuerbach und Bakunin","Marx, Karl [Mitwirkender]; Ruge, Arnold [Mitwirkender]; Feuerbach, Ludwig [Mitwirkender]; Bakunin, Michael Aleksandrovič [Mitwirkender]",2022
Zur Judenfrage / Karl Marx,"Marx, Karl [Verfasser]; Gröls-Verlag, Redaktion [Herausgeber]",2022
Zur Judenfrage / Karl Marx,"Marx, Karl [Verfasser]; Gröls-Verlag, Redaktion [Herausgeber]",2022
Zur Kritik der politischen Ökonomie : H. 1 / Karl Marx,"Marx, Karl [Verfasser]",2022
"3 Libros para Conocer El Comunismo / Karl Marx, Friedrich Engels, León Trotsky, José Carlos Mariátegui, August Nemo","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]; Trotsky, León [Verfasser]; Mariátegui, José Carlos [Verfasser]; Nemo, August [Verfasser]",2021
Anatomie der Gegenwart / Konrad Lotter,"Lotter, Konrad [Verfasser]",2021
Auf den Schultern von Karl Marx / Thomas Sablowski [und 4 weitere] (Hrsg.) ; Rosa Luxemburg Stiftung,"Sablowski, Thomas [Herausgeber]",2021
[Marx] ; Bir bütün olarak kapitalist üretim süreci / Karl Marx ; yayıma hazırlayan Friedrich Engels ; Almancadan çeviren Mehmet Selik ve Erkin Özalp,"Marx, Karl",2021
"Christliche Religion als Gesellschaftskritik? / herausgegeben von: Mattersburger Kreis für Entwicklungspolitik an den österreichischen Universitäten ; Schwerpunktredaktion: Magdalena Andrea Kraus, Jonathan Scalet","Kraus, Magdalena Andrea [Mitwirkender]",2021
[Theorie des Kapitals 12] ; Daisankan daigobunsatsu / Marx Karl Heinrich;Nihon kyōsantō chūō iinkai shakai kagaku kenkyūjo,"Marx, Karl Heinrich. [Verfasser]",2021
[Das Kapital] ; Daisankan daiyonbunsatsu / Marx Karl Heinrich;Nihon kyōsantō chūō iinkai shakai kagaku kenkyūjo,"Marx, Karl Heinrich. [Verfasser]",2021
Das Kapital / Karl Marx,"Marx, Karl [Verfasser]",2021
Das Kapital / Karl Marx,"Marx, Karl [Verfasser]",2021
[Manifest der Kommunistischen Partei] ; Das kommunistische Manifest / [Karl Marx ; Friedrich Engels]. Mit e. neuen Vorw. v. F. Engels,"Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2021
"Das Kommunistische Manifest | Manifest der Kommunistischen Partei / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2021
"Das Kommunistische Manifest | Manifest der Kommunistischen Partei / Karl Marx, Friedrich Engels","Marx, Karl [Verfasser]; Engels, Friedrich [Verfasser]",2021
