Title,Author,Publication Year
"Moduli dimensions of lattice polygons / by Marino Echavarria, Max Everett, Shinyu Huang, Liza Jacoby, Ralph Morrison, Ayush K. Tewari, Raluca Vlad, Ben Weber","Echavarria, Marino [Verfasser]; Everett, Max [Verfasser]; Huang, Shinyu [Verfasser]; Jacoby, Liza [Verfasser]; Morrison, Ralph [Verfasser]; Tewari, Ayush K. [Verfasser]; Vlad, Raluca [Verfasser]; Weber, Ben [Verfasser]",2021
[Weber] ; A protestáns etika és a kapitalizmus szelleme / Max Weber ; fordította: Ábrahám Zoltán,"Weber, Max [Verfasser]",2020
"[Weber] ; A zene racionális és szociológiai alapjai / Max Weber ; fordította, utószóval és jegyzetekkel ellátta Tokaji András","Weber, Max [Verfasser]; Tokaji, András [Übersetzer]",2020
Bürgerwelt und Sinnenwelt : Max Webers München / Friedrich Wilhelm Graf und Edith Hanke,"Graf, Friedrich Wilhelm [Verfasser]; Hanke, Edith [Verfasser]",2020
Charisma and disenchantment : the vocation lectures / Max Weber ; edited and with an introduction by Paul Reitter and Chad Wellmon ; translated from the German by Damion Searls,"Weber, Max [Verfasser]; Reitter, Paul [Verfasser einer Einleitung] [Herausgeber]; Wellmon, Chad [Herausgeber] [Verfasser einer Einleitung]; Searls, Damion [Übersetzer]",2020
Die Isopoden. : Gesammelt während der Fahrten des Willem Barents / Max Weber,"Weber, Max [Verfasser]",2020
[Weber] ; Ética protestante y el espíritu del capitalismo / Max Weber ; edición y prólogo de José María García Blanco,"Weber, Max [Verfasser]; García Blanco, José María, 1954- [Herausgeber]",2020
Gelehrtenbriefe : 1878-1920 / Max Weber ; herausgegeben von Rita Aldenhoff-Hübinger und Edith Hanke ; mit einem Einleitungsessay von Gangolf Hübinger,"Weber, Max [Verfasser]; Aldenhoff-Hübinger, Rita [Herausgeber]; Hanke, Edith [Herausgeber]; Hübinger, Gangolf [Verfasser einer Einleitung]",2020
Gelehrtenbriefe : 1878-1920. Ausgewählte Briefe II / Max Weber,"Weber, Max [Verfasser]; Aldenhoff-Hübinger, Rita [Herausgeber]; Hanke, Edith [Herausgeber]",2020
Abteilung 3. Vorlesungen und Vorlesungsnachschriften; Band 2. Praktische Nationalökonomie : Vorlesungen 1895-1899 / herausgegeben von Hauke Janssen in Zusammenarbeit mit Cornelia Meyer-Stoll und Ulrich Rummel,"Janssen, Hauke [Herausgeber]; Meyer-Stoll, Cornelia [Herausgeber]; Rummel, Ulrich [Herausgeber]",2020
Il lavoro dello spirito : saggio su Max Weber / Massimo Cacciari,"Cacciari, Massimo [Verfasser]",2020
La jeunesse de Max Weber : les lettres de Strasbourg (1883-1892) / Suzie Guth,"Guth, Suzie [Verfasser]",2020
[Die Macht des Heiligen] ; Les pouvoirs du sacré : une alternative au récit du désenchantement / Hans Joas,"Joas, Hans [Verfasser]",2020
Makseu Bebeo ui ilban gyeongjesa,"Weber, Max, 1864-1920. [Verfasser]; Jeong, Myeongjin. [Sonstige]",2020
Max Weber - eine Spurensuche / Hans-Peter Müller,"Müller, Hans-Peter [Verfasser]",2020
[Max Weber] ; Max Weber : çağlar arasında bir yaşam = Max Weber : ein Leben zwischen den Epochen / Jürgen Kaube ; çeviren: Öndercan Muti,"Kaube, Jürgen [Verfasser]; Muti, Öndercan [Übersetzer]",2020
Max Weber : Werk und Wirkung / Hans-Peter Müller,"Müller, Hans-Peter [Verfasser]",2020
Max Weber : Werk und Wirkung / Hans-Peter Müller,"Müller, Hans-Peter [Verfasser]",2020
Max Weber als Rechtssoziologe.,"Rehbinder, Manfred [Herausgeber]; Tieck, Klaus-Peter [Herausgeber]",2020
"Max Weber-Gesamtausgabe : Band I/21,1: Die Wirtschaftsethik der Weltreligionen. Das antike Judentum. Schriften und Reden 1911-1920 / Max Weber","Weber, Max [Verfasser]; Otto, Eckart [Herausgeber]",2020
Max Weber-Gesamtausgabe : Band III/2: Praktische Nationalökonomie. Vorlesungen 1895-1899 / Max Weber,"Weber, Max [Verfasser]; Janssen, Hauke [Herausgeber]",2020
[Max-Weber-Handbuch] ; Max Weber-Handbuch : Leben - Werk - Wirkung / Hans-Peter Müller/Steffen Sigmund (Hg.),"Müller, Hans-Peter [Herausgeber]; Sigmund, Steffen [Herausgeber]",2020
Max Weber. Ein Denker der Freiheit / Christian Marty,"Marty, Christian [Verfasser]",2020
Max Weber. Ein Denker der Freiheit / Christian Marty,"Marty, Christian [Verfasser]",2020
Max Webers Rechtssoziologie und die juristische Methodenlehre / Jens Petersen,"Petersen, Jens [Verfasser]",2020
Max Webers Rechtssoziologie und die juristische Methodenlehre / Jens Petersen,"Petersen, Jens [Verfasser]",2020
Mit Max Weber / Wolfgang Schluchter,"Schluchter, Wolfgang [Verfasser]",2020
Mit Max Weber : Studien / Wolfgang Schluchter,"Schluchter, Wolfgang [Verfasser]",2020
[Die protestantische Ethik] ; Peuroteseutanteu yulli wa jabon juui jeongsin,"Weber, Max [Sonstige]; Bak, Munjae. [Sonstige]",2020
Politik als Beruf / Max Weber,"Weber, Max [Verfasser]",2020
Politik als Beruf : Neu bearbeitete Ausgabe (Klassiker der ofd edition) / Max Weber,"Weber, Max [Verfasser]; edition, ofd [Herausgeber]",2020
"Process Learning for Autonomous Process Anomaly Correction / Timo Nolle ; Max Mühlhäuser, Ingo Weber","Nolle, Timo [Verfasser]; Mühlhäuser, Max [Akademischer Betreuer]; Weber, Ingo [Akademischer Betreuer]",2020
[Die protestantische Ethik und der Geist des Kapitalismus] ; Protestantskaja etika i duch kapitalizma / Maks Veber ; perevod s nemeckogo,"Weber, Max",2020
[Max Webers Rechtssoziologie - eine Einladung zur Lektüre] ; Reading Max Weber´s sociology of law / Hubert Treiber ; translated by Matthew Philpotts,"Treiber, Hubert [Verfasser]",2020
[Politik als Beruf] ; Shokugyō to shite no seiji / Makkusu Vēbā cho ; Waki Keihei yaku,"Weber, Max,, 1864-1920 [Verfasser]; Waki, Keihei,, 1924- [Sonstige]",2020
Soziales Handeln und Struktur der Herrschaft. : Max Webers verstehende historische Soziologie am Beispiel des Patrimonialismus. / Siegfried Hermes,"Hermes, Siegfried [Verfasser]",2020
Soziologische Grundbegriffe (Großdruck) / Max Weber,"Weber, Max [Verfasser]; Borken, Theodor [Herausgeber]",2020
Special issue on rationalization and context intertwined : Max Weber's political economy / edity bay Stefan Kolev,"Kolev, Stefan [Herausgeber]",2020
Sustainable Finance : Auswirkungen des Klimawandels auf das Risikomanagement der Banken / Robert E. Bopp/Max Weber,"Bopp, Robert E. [Verfasser]; Weber, Max [Verfasser]",2020
"Sustainable Finance : Auswirkungen des Klimawandels auf das Risikomanagement der Banken / Robert Bopp, Max Weber","Bopp, Robert E. [Verfasser]; Weber, Max [Verfasser]",2020
"Sustainable Finance : Auswirkungen des Klimawandels auf das Risikomanagement der Banken / Robert Bopp, Max Weber","Bopp, Robert E. [Verfasser]; Weber, Max [Verfasser]",2020
Über Max Weber : Beiträge in literaturkritik.de 2006-2020 / Dirk Kaesler,"Käsler, Dirk [Verfasser]",2020
Wir modernen Menschen - über Max Weber / Matthias Bormuth,"Bormuth, Matthias [Verfasser]",2020
Wissenschaft als Beruf / Max Weber,"Weber, Max [Verfasser]",2020
Wissenschaft als Beruf,"Weber, Max [Verfasser]; Mommsen, Wolfgang J. [Herausgeber]; Schluchter, Wolfgang [Herausgeber]; Morgenbrod, Birgitt [Verfasser]",2020
Zur Aktualität von Max Weber : Einführung in sein Werk,"Lichtblau, Klaus [Verfasser]",2020
Zur Aktualität von Max Weber : Einführung in sein Werk / Klaus Lichtblau,"Lichtblau, Klaus [Verfasser]",2020
Zur Petrographie der Samoa-Inseln / von M. Weber,"Weber, Maximilian [Verfasser]",2020
"On the Theme of “War Guilt” : (Zum Thema der „Kriegsschuld“) Frankfurter Zeitung, 17 January 1919","Weber, Max [Verfasser]",2020
Alte Begriffe - Neue Probleme : Max Webers Soziologie im Lichte aktueller Problemstellungen,"Schwinn, Thomas [Herausgeber]; Albert, Gert [Herausgeber]",2019
Ausgewählte Briefe / Max Weber,"Weber, Max [Verfasser]",2019-2020
[Weber] ; Boġok̕akan êt̕ikan e︠w︡ kapitalizmi ogin / Mak̕s Veber ; t̕argmanič̕ Vahram Soġomonyan,"Weber, Max [Verfasser]",2019
Die Macht des Heiligen : eine Alternative zur Geschichte von der Entzauberung / Hans Joas,"Joas, Hans [Verfasser]",2019
"Die neue Marktinfrastruktur im OTC Derivatehandel : eine Untersuchung im Lichte der institutionellen Wechselwirkung von Recht und Finanzwesen mit Bezügen zum deutschen, englischen und U.S.-amerikanischen Recht / Max Weber","Weber, Max [Verfasser]",2019
"Die neue Marktinfrastruktur im OTC Derivatehandel : Eine Untersuchung im Lichte der institutionellen Wechselwirkung von Recht und Finanzwesen mit Bezügen zum deutschen, englischen und U.S.-amerikanischen Recht / Max Weber","Weber, Max [Verfasser]",2019
"[Die protestantische Ethik und der Geist des Kapitalismus / Max Weber] ; Die protestantische Ethik und der Geist des Kapitalismus / Max Weber, chinesisch","Weber, Max",2019
Die protestantische Ethik und der Geist des Kapitalismus (Großdruck) / Max Weber,"Weber, Max [Verfasser]; Borken, Theodor [Herausgeber]",2019
Die protestantische Ethik und der Geist des Kapitalismus (Großdruck) / Max Weber,"Weber, Max [Verfasser]; Borken, Theodor [Herausgeber]",2019
[Die protestantische Ethik und der Geist des Kapitalismus] ; Die protestantische Ethik und der Geist des Kapitalismus (japanisch) / Max Weber,"Weber, Max",2019
Die Zusage im Umsatzsteuerrecht : eine Untersuchung im steuerverfassungsrechtlichen Mehrebenensystem de lege lata und de lege ferenda / Max Weber,"Weber, Max [Verfasser]",2019
Die Zusage im Umsatzsteuerrecht : Eine Untersuchung im steuerverfassungsrechtlichen Mehrebenensystem «de lege lata» und «de lege ferenda» / Max Weber,"Weber, Max [Verfasser]",2019
[Weber] ; Economy and society : a new translation / Max Weber ; edited and translated by Keith Tribe,"Weber, Max [Verfasser]; Tribe, Keith [Herausgeber] [Übersetzer]",2019
Genezis na zapadnija racionalizăm / Maks Veber ; săstavitelstvo i obšta reakcija Kolʹo Koev ; prevod ot nemski: Kolʹo Koev [und 5 weitere],"Weber, Max [Verfasser]; Koev, Kolʹo Videv [Herausgeber]",2019
Abteilung 2. Briefe; Band 11. Nachträge und Gesamtregister / herausgegeben von Rita Aldenhoff-Hübinger und Edith Hanke,"Aldenhoff-Hübinger, Rita [Herausgeber]; Hanke, Edith [Herausgeber]",2019
"Gospodstvo / Maks Veber ; perevod s nemeckogo pod obščej redakciej doktora filosofskich nauk, professora L. G. Ionina","Weber, Max [Verfasser]",2019
"Kapitalismus bei Max Weber - zur Rekonstruktion eines fast vergessenen Themas / Talcott Parsons ; herausgegeben, eingeleitet und kommentiert von Uta Gerhardt","Parsons, Talcott [Verfasser]; Gerhardt, Uta [Herausgeber]",2019
"Kapitalismus bei Max Weber - zur Rekonstruktion eines fast vergessenen Themas : Herausgegeben, eingeleitet und kommentiert von Uta Gerhardt","Parsons, Talcott [Verfasser]; Gerhardt, Uta [Herausgeber]",2019
Kelsen im Kontext : Beiträge zum Werk Hans Kelsens und geistesverwandter Autoren / Horst Dreier ; herausgegeben von Matthias Jestaedt und Stanley L. Paulson,"Dreier, Horst [Verfasser]; Jestaedt, Matthias [Herausgeber]; Paulson, Stanley L. [Herausgeber]",2019
Kelsen im Kontext : Beiträge zum Werk Hans Kelsens und geistesverwandter Autoren / Horst Dreier,"Dreier, Horst [Verfasser]; Jestaedt, Matthias [Herausgeber]; Paulson, Stanley L. [Herausgeber]",2019
[Die Börse] ; La bourse / Max Weber ; traduit de l'allemand et précédé d'une introduction par Pierre de Larminat,"Weber, Max [Verfasser]; Larminat, Pierre de [Übersetzer]",2019
Max Weber - ein Denker der Freiheit / Christian Marty,"Marty, Christian [Verfasser]",2019
Max Weber : Stationen und Impulse einer intellektuellen Biographie / Gangolf Hübinger,"Hübinger, Gangolf [Verfasser]",2019
Max Weber : Stationen und Impulse einer intellektuellen Biographie / Gangolf Hübinger,"Hübinger, Gangolf [Verfasser]",2019
Max Weber-Gesamtausgabe : Band I/10: Zur Russischen Revolution von 1905. Schriften und Reden 1905-1912 / Max Weber,"Weber, Max [Verfasser]; Mommsen, Wolfgang J. [Herausgeber]",2019
